name,author,narrator,time,releasedate,language,stars,price
Geronimo Stilton #11 & #12,Writtenby:GeronimoStilton,Narratedby:BillLobely,2 hrs and 20 mins,04-08-08,English,5 out of 5 stars34 ratings,468.00
The Burning Maze,Writtenby:RickRiordan,Narratedby:RobbieDaymond,13 hrs and 8 mins,01-05-18,English,4.5 out of 5 stars41 ratings,820.00
The Deep End,Writtenby:JeffKinney,Narratedby:DanRussell,2 hrs and 3 mins,06-11-20,English,4.5 out of 5 stars38 ratings,410.00
Daughter of the Deep,Writtenby:RickRiordan,Narratedby:SoneelaNankani,11 hrs and 16 mins,05-10-21,English,4.5 out of 5 stars12 ratings,615.00
"The Lightning Thief: Percy Jackson, Book 1",Writtenby:RickRiordan,Narratedby:JesseBernstein,10 hrs,13-01-10,English,4.5 out of 5 stars181 ratings,820.00
The Hunger Games: Special Edition,Writtenby:SuzanneCollins,Narratedby:TatianaMaslany,10 hrs and 35 mins,30-10-18,English,5 out of 5 stars72 ratings,656.00
Quest for the Diamond Sword,Writtenby:WinterMorgan,Narratedby:LukeDaniels,2 hrs and 23 mins,25-11-14,English,5 out of 5 stars11 ratings,233.00
The Dark Prophecy,Writtenby:RickRiordan,Narratedby:RobbieDaymond,12 hrs and 32 mins,02-05-17,English,5 out of 5 stars50 ratings,820.00
Merlin Mission Collection,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,10 hrs and 56 mins,02-05-17,English,5 out of 5 stars5 ratings,"1,256.00"
The Tyrantâ€™s Tomb,Writtenby:RickRiordan,Narratedby:RobbieDaymond,13 hrs and 22 mins,24-09-19,English,5 out of 5 stars58 ratings,820.00
"The Titan's Curse: Percy Jackson, Book 3",Writtenby:RickRiordan,Narratedby:JesseBernstein,8 hrs and 48 mins,14-01-10,English,4.5 out of 5 stars130 ratings,820.00
Magic Tree House Collection: Books 9-16,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,5 hrs and 23 mins,24-08-11,English,5 out of 5 stars6 ratings,"1,206.00"
Magic Tree House Collection: Books 1-8,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,6 hrs and 1 min,27-09-11,English,5 out of 5 stars7 ratings,"1,206.00"
Magnus Chase and the Ship of the Dead,Writtenby:RickRiordan,Narratedby:MichaelCrouch,12 hrs and 58 mins,03-10-17,English,5 out of 5 stars41 ratings,820.00
Northern Lights,Writtenby:PhilipPullman,"Narratedby:PhilipPullman,fullcast,RuthWilson",11 hrs and 55 mins,24-06-21,English,4 out of 5 stars2 ratings,"1,093.00"
Geronimo Stilton #13 and #14,Writtenby:GeronimoStilton,Narratedby:BillLobley,2 hrs and 25 mins,08-02-08,English,4.5 out of 5 stars33 ratings,467.00
Magic Tree House Collection,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,5 hrs and 4 mins,26-12-04,English,5 out of 5 stars7 ratings,"1,206.00"
Exile,Writtenby:ShannonMessenger,Narratedby:CaitlinKelly,14 hrs and 41 mins,06-11-18,English,5 out of 5 stars20 ratings,836.00
Merlin Mission Collection,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,10 hrs and 18 mins,02-05-17,English,5 out of 5 stars11 ratings,"1,256.00"
Neverseen,Writtenby:ShannonMessenger,Narratedby:CaitlinKelly,16 hrs and 42 mins,06-11-18,English,5 out of 5 stars13 ratings,"1,003.00"
The Tower of Nero,Writtenby:RickRiordan,Narratedby:RobbieDaymond,12 hrs and 12 mins,06-10-20,English,5 out of 5 stars79 ratings,615.00
"Eldest: The Inheritance Cycle, Book 2",Writtenby:ChristopherPaolini,Narratedby:GerrardDoyle,23 hrs and 29 mins,14-04-09,English,4.5 out of 5 stars47 ratings,957.00
Artemis Fowl,Writtenby:EoinColfer,Narratedby:GerryO'Brien,6 hrs and 46 mins,11-04-13,English,5 out of 5 stars27 ratings,683.00
Geronimo Stilton 22 & 24,Writtenby:GeronimoStilton,Narratedby:BillLobley,2 hrs and 37 mins,01-02-11,English,4.5 out of 5 stars25 ratings,469.00
Percy Jackson and the Battle of the Labyrinth,Writtenby:RickRiordan,Narratedby:JesseBernstein,10 hrs and 32 mins,21-01-10,English,5 out of 5 stars101 ratings,820.00
Winnie-the-Pooh,Writtenby:A.A.Milne,Narratedby:PeterDennis,2 hrs and 46 mins,28-12-03,English,5 out of 5 stars15 ratings,468.00
Magic Tree House Collection: Books 25-32,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,7 hrs and 9 mins,01-09-20,English,5 out of 5 stars3 ratings,"1,256.00"
Geronimo Stilton #20 and #21,Writtenby:GeronimoStilton,Narratedby:BillLobley,2 hrs and 32 mins,01-10-10,English,5 out of 5 stars18 ratings,469.00
The Red Pyramid,Writtenby:RickRiordan,"Narratedby:JaneCollingwood,JosephMay",13 hrs and 44 mins,24-01-13,English,4.5 out of 5 stars37 ratings,820.00
Mystery of the Griefer's Mark,Writtenby:WinterMorgan,Narratedby:LukeDaniels,1 hr and 53 mins,25-11-14,English,5 out of 5 stars9 ratings,233.00
